Location,Block,District,Latitude,Longitude,Chloride_mg_per_l
Valappadi,VALAPADI,Salem,11.65,78.41,180.0
Essani dw,PERAMBALUR,Perambalur,11.27,78.85,154.07
Kunnam,VEPPUR,Perambalur,11.23,79.03,820.0
Tyagadurgam1,TIYAGAIDURGAM,Villupuram,11.72,79.08,626.22
Attur fire st.,ATTUR,Salem,11.6,78.61,95.0
T.Murungapatti,UPPILIYAPURAM,Trichy,11.37,78.49,35.5
Kopuvanur,VIRUTHACHALAM,Cuddalore,11.61,79.32,994.0
Sattamangalam,KAMMAPURAM,Cuddalore,11.52,79.37,98.0
Neyveli,KAMMAPURAM,Cuddalore,11.56,79.48,142.0
Killai,PORTNOVA,Cuddalore,11.45,79.76,262.0
Kurinjipadi,KURINCHIPADI,Cuddalore,11.56,79.59,1366.75
Andimadam DW,ANDIMADAM,Perambalur,11.34,79.38,95.0
Perambalur2,PERAMBALUR,Perambalur,11.23,78.88,213.71
Metala,NAMAGIRIPETTAI,Namakkal,11.52,78.34,280.0
Ayilpatti,NAMAGIRIPETTAI,Namakkal,11.53,78.35,195.25
Seerakuppam dw,KURINCHIPADI,Cuddalore,11.53,79.53,124.25
Kallakurichi2,CHINNASALEM,Villupuram,11.74,78.85,194.0
Vadalur,KURINCHIPADI,Cuddalore,11.54,79.54,44.0
Periyakumudhi,PORTNOVA,Cuddalore,11.49,79.72,95.0
Veppur,NALLUR,Cuddalore,11.53,79.13,284.0
P.Goundanpalyam,GANGAVALLI,Salem,11.47,78.48,202.0
Palaiyur,VEPPANTHATTAI,Perambalur,11.35,78.83,164.01
Kurumbalur,PERAMBALUR,Perambalur,11.23,78.8,159.04
Abaddaranapuram DW,KURINCHIPADI,Cuddalore,11.58,79.55,195.25
Nakkaselam,ALATHUR,Perambalur,11.16,78.72,198.8
Nakkaselam,ALATHUR,Perambalur,11.16,78.72,198.8
Kundiamallur DW,KURINCHIPADI,Cuddalore,11.53,79.65,230.75
Porto-nova,PORTNOVA,Cuddalore,11.49,79.75,248.5
Periyathukurichi,ANDIMADAM,Perambalur,11.41,79.33,98.0
Anthanampettai DW,KURINCHIPADI,Cuddalore,11.61,79.64,88.75
Veppampoondi,TALAIVASAAL,Salem,11.53,78.76,106.0
Udayarpalayam,NAMAGIRIPETTAI,Namakkal,11.51,78.37,230.75
Keelpuvanikuppam DW,KURINCHIPADI,Cuddalore,11.6,79.72,248.5
Attur fire st.,ATTUR,Salem,11.6,78.61,95.0
Andimadam DW,ANDIMADAM,Perambalur,11.34,79.38,95.0
Attur fire st.,ATTUR,Salem,11.6,78.61,95.0
Porto-nova,PORTNOVA,Cuddalore,11.49,79.75,248.5
Ammapalayam,PERAMBALUR,Perambalur,11.22,78.75,254.0
Eswaramoorthypalayam,NAMAGIRIPETTAI,Namakkal,11.57,78.4,284.0
Tyagadurgam1,TIYAGAIDURGAM,Villupuram,11.72,79.08,626.22
Udayarpalayam,NAMAGIRIPETTAI,Namakkal,11.51,78.37,230.75
Maapodaiyur DW,MANGALUR,Cuddalore,11.48,79.05,289.0
Chinnasalem1,KALLAKKURICHI,Villupuram,11.63,78.95,104.37
Tekkumellur DW,KURINCHIPADI,Cuddalore,11.59,79.53,30.0
Mangalamedu DW,VEPPANTHATTAI,Perambalur,11.35,78.95,104.37
Valappadi,VALAPADI,Salem,11.65,78.41,180.0
