Y,X,EC_1,F_1,EC_2,F_2,EC_3,F_3,EC_4,F_4,EC_5,F_5
11.46666667,79.55,850,0.21,500,NA,750,NA,500,NA,NA,NA
11.56,79.67,835,0.26,507,0.5,320,NA,514,NA,NA,NA
11.59222222,79.59194444,1810,0.45,180,0.1,282,0.34,666,0.39,NA,NA
11.51694444,79.35277778,720,0.6,180,0.1,290,0.2,NA,NA,NA,NA
11.53722222,79.53,1230,0.42,830,0.31,1310,0.92,600,0.31,NA,NA
11.4,79.40611111,560,0.3,200,0.2,350,NA,420,NA,NA,NA
11.77527778,79.50694444,1100,0.6,1800,0.2,3900,0.27,1500,0.2,NA,NA
11.45,79.74166667,1250,0.64,650,0.5,NA,NA,NA,NA,NA,NA
11.76305556,79.79027778,2620,0.2,900,NA,690,NA,658,NA,NA,NA
11.53361111,79.57916667,1040,0.9,250,0.3,NA,NA,710,0.2,NA,NA
11.55694444,79.72722222,1450,0.6,530,0.2,NA,NA,NA,NA,NA,NA
11.74166667,79.78333333,2210,0.4,1030,NA,700,NA,590,NA,NA,NA
11.6125,79.7625,560,0.4,860,NA,560,NA,500,NA,NA,NA
11.69277778,79.61,577,0.42,126,0.02,350,0.2,533,0.01,NA,NA
11.53222222,79.59666667,685,0.22,348,0.2,1391,0.38,NA,NA,NA,NA
11.61694444,79.425,950,0.4,160,0.3,380,NA,600,NA,NA,NA
11.51666667,79.525,950,0.39,500,NA,1100,NA,856,NA,NA,NA
11.6,79.53,982,0.78,218,NA,860,NA,605,NA,NA,NA
11.7,79.55,450,0.2,200,0.21,400,NA,580,NA,NA,NA
11.61472222,79.66138889,920,0.35,350,0.4,354,0.02,600,NA,NA,NA
11.65111111,79.53777778,577,0.42,400,NA,180,NA,530,NA,NA,NA
11.52277778,79.65333333,398,0.23,420,0.21,440,0.45,526,NA,NA,NA
11.56,79.555,209,0.5,185,NA,760,NA,560,NA,NA,NA
11.58666667,79.53361111,683,0.17,290,1.1,830,0.32,675,NA,NA,NA
11.39194444,79.70722222,8910,1.4,750,0.4,1200,NA,800,NA,NA,NA
11.58388889,79.63361111,620,0.15,350,NA,506,0.26,800,NA,NA,NA
11.34166667,79.49166667,1175,0.6,600,0.4,NA,NA,NA,NA,NA,NA
11.61666667,79.59833333,310,0.19,212,NA,410,NA,550,NA,NA,NA
11.75055556,79.55,750,0.3,301,0.3,600,NA,600,NA,NA,NA
11.50083333,79.33333333,720,0.6,210,0.3,850,NA,1100,NA,NA,NA
11.66194444,79.57194444,577,0.42,125,0.44,420,NA,562,NA,NA,NA
11.61777778,79.71944444,835,0.26,507,0.5,320,NA,514,NA,NA,NA
11.73361111,79.625,720,0.4,201,0.2,650,0.5,512,NA,NA,NA
11.70083333,79.76388889,748,0.4,650,0.3,460,NA,523,NA,NA,NA
11.51666667,79.48333333,700,0.3,340,NA,600,NA,415,NA,NA,NA
11.60027778,79.72916667,920,0.35,507,0.5,350,NA,600,NA,NA,NA
11.5175,79.22777778,NA,NA,NA,NA,NA,NA,NA,NA,1421,0.7
11.46666667,79.5,801,0.72,400,NA,960,NA,840,NA,NA,NA
11.55330556,78.94119444,NA,NA,NA,NA,NA,NA,NA,NA,1400,0.7
11.56111111,79.1445,NA,NA,NA,NA,NA,NA,NA,NA,1201,0.6
11.41075,78.99247222,NA,NA,NA,NA,NA,NA,NA,NA,1514,0.6
11.55055556,79.15277778,NA,NA,NA,NA,NA,NA,NA,NA,1360,0.3
