State,District,Y,X,Well Type,Village,Depth (m.bgl),Depth to Water Level (m.bgl),Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11
,,,,,,,2022-05-10 00:00:00,2022-08-10 00:00:00,2022-11-10 00:00:00,2023-01-10 00:00:00,2023-05-10 00:00:00
Tamil Nadu,Cuddalore,11.5819,79.5533,Dug Well,Abaddaranapuram DW,8.0,2.2,4.57,1.9,2.1,4.21
Tamil Nadu,Cuddalore,11.6067,79.635,Dug Well,Anthanampettai DW,4.05,1.94,3.08,1.78,1.7,3.2
Tamil Nadu,Cuddalore,11.6144,79.6614,Tube Well,Arasadikuppam,132.5,89.49000000000001,,87.1,86.84,87.35
Tamil Nadu,Cuddalore,11.4569,79.3739,Tube Well,C.Keeranur EW,100.4,50.75,52.36,51.12,,51.72
Tamil Nadu,Cuddalore,11.4569,79.3739,Tube Well,C.Keeranur OW-1,100.4,35.87,36.16,48.42,49.7,51.72
Tamil Nadu,Cuddalore,11.4569,79.3739,Tube Well,C.Keeranur OW-2,100.0,49.3,48.65,49.45,61.5,42.86
Tamil Nadu,Cuddalore,11.3833,79.3833,Dug Well,Chidambaram,5.7,2.42,4.62,2.36,3,4.38
Tamil Nadu,Cuddalore,11.7644,79.7647,Dug Well,Cuddalore1,6.9,3.25,5.45,4.75,3.85,4.88
Tamil Nadu,Cuddalore,11.6175,79.5539,Dug Well,Gandhinagar-Nlc Arch Gate DW,14.4,13.399999999999999,12.96,13.42,13.9,13.1
Tamil Nadu,Cuddalore,11.6167,79.425,Tube Well,Irruppu II,62.7,28.509999999999998,39.37,25.4,28.75,43.6
Tamil Nadu,Cuddalore,11.5222,79.5256,Dug Well,Karunguli dw,14.25,1.35,1.34,1.1,1.6,1.82
Tamil Nadu,Cuddalore,11.5036,79.6325,Tube Well,Kattiyankuppam Pz-1,100.4,66.71000000000001,71.46,48.25,62.47,78.34
Tamil Nadu,Cuddalore,11.5036,79.6325,Tube Well,Kattiyankuppam Pz-2,100.4,52.6,,48.8,61.55,68.47
Tamil Nadu,Cuddalore,11.5036,79.6325,Tube Well,Kattiyankuppam Pz-3,100.3,54.19,,58.38,51.91,70.67
Tamil Nadu,Cuddalore,11.275,79.5472,Dug Well,Kattumannarkudi,7.4,2.8200000000000003,5.45,,3.3,7.31
Tamil Nadu,Cuddalore,11.65,79.65,Tube Well,Kattusagai(n),278.0,54.71,56.63,46.27,52.5,56.47
Tamil Nadu,Cuddalore,11.65,79.65,Tube Well,Kattusagai(s),170.0,56.64,,53.53,51.51,68.09
Tamil Nadu,Cuddalore,11.6475,79.6392,Dug Well,Kattuvegakollai DW,16.95,5.89,7.24,5.28,6.25,11.5
Tamil Nadu,Cuddalore,11.6011,79.7189,Dug Well,Keelpuvanikuppam DW,4.05,2.11,3.68,2.44,2.85,4
Tamil Nadu,Cuddalore,11.4458,79.7639,Dug Well,Killai,4.4,2.0200000000000005,3.45,2.07,2.1,3.37
Tamil Nadu,Cuddalore,11.5228,79.6533,Tube Well,Kodandaramapuram pz,101.0,,,30.95,30.66,39.22
Tamil Nadu,Cuddalore,11.2667,79.6208,Dug Well,Komaratchi,7.2,4.54,6.27,3,3.97,5.24
Tamil Nadu,Cuddalore,11.6083,79.3167,Dug Well,Kopuvanur,7.4,2.51,,1.65,2.16,2
Tamil Nadu,Cuddalore,11.6922,79.7639,Tube Well,Kudikadu I,145.0,16.689999999999998,20.76,2.18,14.8,23.37
Tamil Nadu,Cuddalore,11.5269,79.6517,Dug Well,Kundiamallur DW,6.05,2.13,Dry,3.48,10.07,7
Tamil Nadu,Cuddalore,11.5625,79.5917,Dug Well,Kurinjipadi,10.1,2.75,6.92,2.32,4.48,7.06
Tamil Nadu,Cuddalore,11.4817,79.0458,Dug Well,Maapodaiyur DW,11.4,2.4499999999999997,6.1,4.75,5.3,6.1
Tamil Nadu,Cuddalore,11.5125,79.0111,Bore Well,Mangalur,47.93,3.2600000000000002,6.12,4.56,5,4.3
Tamil Nadu,Cuddalore,11.4922,79.6028,Tube Well,Maruthur EW,39.4,38.85,,38.31,37.25,37.16
Tamil Nadu,Cuddalore,11.4922,79.6028,Tube Well,Maruthur II,54.4,5.03,51.88,6.32,6.22,8.44
Tamil Nadu,Cuddalore,11.4922,79.6028,Tube Well,Maruthur IV,99.35,6.51,,51.86,,51.57
Tamil Nadu,Cuddalore,11.6392,79.7472,Dug Well,Nadutitu DW,2.25,1.85,1.68,1.19,4.09,4.3
Tamil Nadu,Cuddalore,11.5683,79.19,Bore Well,Nallur Pz,42.65,2.05,5.29,4.7,5.07,6.76
Tamil Nadu,Cuddalore,11.7758,79.6733,Tube Well,Nellikuppam PZ,197.0,22.7,23.45,19.84,18.68,24.34
Tamil Nadu,Cuddalore,11.5583,79.4833,Dug Well,Neyveli1,17.2,3.5,6,3.2,3.8,5.07
Tamil Nadu,Cuddalore,11.5922,79.5922,Tube Well,Pacharapalayam II-EW,209.0,77.85000000000001,75.1,72.24,73.48,76.75
Tamil Nadu,Cuddalore,11.5922,79.5922,Tube Well,Pacharapalayam PzI-OW,361.0,74.76,,72.62,74.35,76.41
